domain_1	domain_2
PF03743	PF03743
PF00237	PF00573
PF05151	PF05151
PF01977	PF01977
PF00869	PF01570
PF00198	PF00198
PF01363	PF02809
PF01161	PF01161
PF00277	PF00277
PF00262	PF13848
PF01276	PF01276
PF06965	PF06965
PF00310	PF01380
PF00271	PF00488
PF00593	PF07660
PF00188	PF08271
PF00022	PF01875
PF00316	PF04670
PF01303	PF01303
PF00562	PF02357
PF02845	PF02845
PF00071	PF00641
PF00125	PF00696
PF00340	PF07679
PF01546	PF01546
PF02914	PF02914
PF02881	PF02978
PF00400	PF01603
PF00249	PF09197
PF03301	PF03301
PF00503	PF00615
PF01336	PF04098
PF00266	PF02657
PF04997	PF05129
PF00062	PF02709
PF17679	PF17679
PF13193	PF13193
PF04934	PF07544
PF00194	PF07654
PF00581	PF07992
PF03129	PF09180
PF00702	PF01423
PF13326	PF13326
PF14226	PF14226
PF00382	PF03604
PF02141	PF03456
PF13304	PF13476
PF03959	PF03959
PF09466	PF09466
PF17880	PF17880
PF02190	PF10433
PF03764	PF04758
PF00535	PF01151
PF03540	PF05236
PF02278	PF09093
PF04573	PF06645
PF00344	PF14849
PF00160	PF00515
PF04313	PF18766
PF02213	PF02213
PF00954	PF08276
PF16073	PF16073
PF01749	PF02127
PF00331	PF02018
PF00270	PF02792
PF00562	PF03449
PF00089	PF01403
PF08367	PF08367
PF18109	PF18109
PF05793	PF17683
PF09394	PF09394
PF00479	PF00479
PF04516	PF04516
PF06475	PF06475
PF02962	PF02962
PF01764	PF01764
PF00715	PF09240
PF02300	PF13183
PF05791	PF05791
PF00176	PF02212
PF07686	PF09256
PF01398	PF01399
PF00758	PF07686
PF01353	PF07361
PF05591	PF05591
PF02089	PF02089
PF00421	PF07123
PF00718	PF00718
PF00829	PF00886
PF01327	PF01632
PF01175	PF17391
PF00125	PF00581
PF10633	PF10633
PF00245	PF05697
PF01063	PF05032
PF01250	PF01250
PF00085	PF01507
PF00411	PF01090
PF04574	PF16991
PF00281	PF00641
PF00440	PF13977
PF01380	PF13522
PF01090	PF01907
PF00004	PF02933
PF00076	PF02020
PF01990	PF01991
PF00415	PF00638
PF13533	PF16576
PF00316	PF00316
PF03892	PF04879
PF11053	PF11053
PF01282	PF01655
PF00897	PF00897
PF17798	PF17798
PF00623	PF01096
PF18304	PF18304
PF00071	PF00501
PF00035	PF00252
PF00036	PF00160
PF01591	PF01591
PF00355	PF11723
PF00359	PF00874
PF00071	PF18641
PF00018	PF00168
PF02668	PF06155
PF13176	PF13176
PF01756	PF14749
PF06737	PF06737
PF00009	PF17777
PF17481	PF17481
PF09736	PF09736
PF09270	PF12796
PF01221	PF01221
PF00888	PF03931
PF00078	PF06815
PF17910	PF17910
PF01399	PF04110
PF00041	PF09240
PF00400	PF17655
PF02374	PF08690
PF01807	PF02768
PF16707	PF16707
PF10421	PF10421
PF16168	PF16168
PF01624	PF02518
PF00013	PF03725
PF00069	PF00149
PF04190	PF04190
PF01600	PF01601
PF01029	PF01555
PF00559	PF03931
PF00046	PF02376
PF00440	PF08362
PF00062	PF13739
PF10759	PF10759
PF00071	PF09027
PF00478	PF01008
PF04227	PF04227
PF00889	PF03431
PF01124	PF01124
PF13414	PF15243
PF00411	PF03947
PF00022	PF00261
PF00226	PF01423
PF00344	PF01151
PF00085	PF00627
PF00361	PF00662
PF03848	PF09313
PF07467	PF13354
PF01251	PF08271
PF13409	PF13410
PF03607	PF03607
PF00047	PF01462
PF03713	PF03713
PF13476	PF13558
PF18101	PF18101
PF00252	PF01245
PF12840	PF12840
PF00107	PF13602
PF02249	PF02745
PF01248	PF04774
PF02687	PF12704
PF01614	PF01614
PF00595	PF00812
PF02174	PF08725
PF04619	PF04619
PF01423	PF12220
PF00576	PF09349
PF00362	PF07686
PF03463	PF03465
PF00290	PF00697
PF02606	PF02684
PF07686	PF12799
PF00019	PF06535
PF03033	PF04101
PF00351	PF01842
PF01475	PF01475
PF00307	PF03953
PF17767	PF17956
PF02286	PF02286
PF15005	PF16706
PF01575	PF17951
PF00804	PF00957
PF00022	PF07686
PF00062	PF14604
PF00084	PF17790
PF00514	PF01423
PF14830	PF14830
PF01909	PF09249
PF00956	PF00956
PF08448	PF08448
PF00069	PF00227
PF03744	PF03744
PF02489	PF17488
PF04303	PF04303
PF02735	PF02735
PF16702	PF16702
PF09252	PF09252
PF00327	PF17135
PF00041	PF06535
PF00076	PF06487
PF02263	PF02841
PF01200	PF01283
PF00562	PF04563
PF03976	PF03976
PF00549	PF08442
PF18643	PF18643
PF06657	PF06657
PF00484	PF00988
PF05405	PF10775
PF11565	PF11565
PF00622	PF07654
PF00560	PF01582
PF04461	PF04461
PF02604	PF05016
PF00756	PF01036
PF00100	PF00100
PF05327	PF17875
PF02284	PF02790
PF01590	PF05524
PF09030	PF10401
PF02774	PF02774
PF00270	PF13959
PF01094	PF07654
PF00515	PF13424
PF00675	PF08367
PF00129	PF06623
PF09467	PF09467
PF01794	PF03807
PF00344	PF04769
PF17406	PF17407
PF00165	PF01035
PF06831	PF06831
PF00683	PF07645
PF13844	PF13844
PF08445	PF09797
PF00160	PF00581
PF14678	PF14679
PF02781	PF02901
PF00179	PF12827
PF04084	PF07034
PF00071	PF02204
PF00756	PF03232
PF01130	PF03011
PF11099	PF11099
PF00359	PF00381
PF16550	PF18031
PF08615	PF09468
PF00254	PF05697
PF04189	PF08704
PF03874	PF05001
PF00018	PF00063
PF00472	PF17827
PF00575	PF03874
PF00069	PF00241
PF00476	PF09281
PF00548	PF00680
PF00153	PF01008
PF00364	PF02785
PF00338	PF09812
PF03462	PF03889
PF00004	PF05020
PF00050	PF00053
PF13953	PF13953
PF00815	PF01634
PF13604	PF18335
PF01568	PF14589
PF03767	PF03767
PF07728	PF17865
PF09733	PF18118
PF12721	PF12721
PF14561	PF14561
PF01085	PF07686
PF00874	PF05043
PF00428	PF04757
PF18029	PF18029
PF00204	PF01028
PF00076	PF00134
PF11629	PF16517
PF02747	PF15715
PF00468	PF00542
PF08393	PF14497
PF12134	PF12134
PF16482	PF16482
PF00489	PF00489
PF01151	PF03311
PF17389	PF17389
PF12838	PF13510
PF14675	PF14680
PF04539	PF04997
PF03487	PF09238
PF00022	PF00505
PF16918	PF16918
PF18069	PF18069
PF04675	PF04675
PF00428	PF00935
PF03841	PF03841
PF01303	PF11386
PF00170	PF00554
PF00358	PF02378
PF00752	PF02747
PF10458	PF10458
PF12799	PF18212
PF02747	PF14324
PF02359	PF03152
PF07171	PF07364
PF18316	PF18316
PF04587	PF04587
PF00240	PF01910
PF00096	PF00850
PF01198	PF01599
PF04934	PF05397
PF00400	PF00447
PF00071	PF00159
PF03953	PF08683
PF00172	PF00320
PF03519	PF03519
PF00817	PF00817
PF16523	PF17820
PF08000	PF08000
PF01283	PF01521
PF00440	PF17920
PF00581	PF06617
PF00071	PF00241
PF00829	PF01196
PF12925	PF12925
PF18413	PF18518
PF09812	PF11788
PF16838	PF16838
PF07108	PF07108
PF00829	PF01765
PF14630	PF17855
PF00928	PF00928
PF06970	PF06970
PF00205	PF01502
PF11605	PF11605
PF05711	PF05711
PF01121	PF01121
PF07451	PF07451
PF00049	PF00675
PF09407	PF13338
PF00018	PF00307
PF10471	PF13176
PF00903	PF00903
PF00433	PF00615
PF00440	PF17937
PF00004	PF04084
PF00453	PF01196
PF00227	PF11919
PF00041	PF02537
PF00330	PF00400
PF00493	PF04042
PF00124	PF01716
PF00240	PF00545
PF00128	PF07821
PF00453	PF01765
PF11622	PF11622
PF04239	PF04239
PF00180	PF01749
PF17047	PF17047
PF00244	PF00786
PF03944	PF03944
PF00237	PF00327
PF00069	PF03507
PF01820	PF01820
PF00004	PF00022
PF00548	PF02226
PF00400	PF00583
PF00514	PF00571
PF11821	PF12838
PF00856	PF09733
PF04566	PF04997
PF07686	PF18573
PF01704	PF01704
PF07817	PF07817
PF00125	PF00562
PF00541	PF00608
PF00502	PF01383
PF09126	PF09126
PF04078	PF04857
PF01601	PF09408
PF00443	PF08083
PF00085	PF00085
PF00069	PF00787
PF00004	PF00004
PF06436	PF06436
PF10243	PF10243
PF00069	PF02197
PF00572	PF12824
PF00271	PF07652
PF11838	PF11838
PF00705	PF15715
PF00069	PF08587
PF00381	PF05524
PF14955	PF15433
PF00886	PF09243
PF13437	PF13533
PF00195	PF02797
PF04574	PF04574
PF13087	PF16399
PF00435	PF13833
PF07645	PF12947
PF03260	PF03260
PF00383	PF01008
PF00454	PF00454
PF00270	PF17764
PF00554	PF07108
PF00122	PF00403
PF00018	PF16172
PF16837	PF16958
PF08227	PF08287
PF02205	PF02205
PF00355	PF00355
PF00071	PF18773
PF01926	PF16543
PF03991	PF03991
PF00276	PF07147
PF04101	PF04101
PF00959	PF03476
PF00047	PF07679
PF03011	PF16497
PF01960	PF01960
PF00164	PF09000
PF11505	PF11505
PF00342	PF00342
PF00041	PF04140
PF05256	PF05256
PF00512	PF02518
PF00389	PF00687
PF00606	PF17416
PF01881	PF01881
PF00320	PF00412
PF10054	PF10054
PF00001	PF10413
PF00047	PF00090
PF00267	PF06519
PF01592	PF01592
PF04107	PF04107
PF01000	PF03876
PF04055	PF16881
PF00373	PF18038
PF02492	PF02492
PF06087	PF06087
PF01351	PF08615
PF16545	PF16545
PF00338	PF14955
PF00417	PF00830
PF00142	PF00148
PF00177	PF01165
PF04966	PF04966
PF00076	PF00637
PF07201	PF09059
PF00271	PF06068
PF13370	PF13370
PF00091	PF12348
PF00281	PF09812
PF09258	PF09258
PF00452	PF11430
PF02305	PF02305
PF01443	PF06792
PF04023	PF04023
PF14528	PF14528
PF01600	PF11838
PF00404	PF01670
PF00069	PF07714
PF00023	PF13857
PF00298	PF00673
PF08154	PF08154
PF00989	PF00989
PF03413	PF07504
PF13909	PF13909
PF00071	PF00787
PF00341	PF13927
PF03512	PF03512
PF08567	PF18521
PF18235	PF18235
PF13458	PF13458
PF00453	PF01632
PF02180	PF02180
PF01656	PF09274
PF03709	PF03709
PF13969	PF13969
PF00076	PF00996
PF00164	PF03464
PF03688	PF03688
PF00550	PF08540
PF01424	PF01424
PF00189	PF00417
PF01214	PF01423
PF01735	PF18695
PF10996	PF10996
PF00128	PF11896
PF08305	PF08305
PF15077	PF15101
PF00403	PF00702
PF01479	PF02363
PF00967	PF00967
PF18194	PF18334
PF00062	PF08816
PF06613	PF06613
PF00580	PF17946
PF01417	PF01417
PF01217	PF02883
PF06455	PF14813
PF00297	PF08155
PF00154	PF03652
PF10276	PF10588
PF00025	PF03950
PF09409	PF18486
PF13614	PF18607
PF00565	PF00565
PF02627	PF02627
PF08323	PF13692
PF01379	PF06969
PF04997	PF04998
PF00831	PF07679
PF14670	PF14670
PF07686	PF09186
PF04084	PF18137
PF00023	PF12796
PF00179	PF18499
PF03986	PF04110
PF05947	PF06996
PF03980	PF03980
PF00704	PF18683
PF00419	PF00419
PF00018	PF05216
PF00621	PF00621
PF03270	PF03270
PF01985	PF01985
PF00072	PF00196
PF18129	PF18194
PF18318	PF18318
PF00159	PF00159
PF00580	PF06064
PF06544	PF06544
PF01749	PF01916
PF00231	PF06957
PF05224	PF05224
PF01946	PF01946
PF05064	PF13874
PF00268	PF08343
PF03952	PF03952
PF00365	PF18468
PF07563	PF07563
PF01624	PF06068
PF00627	PF00889
PF00252	PF01649
PF00620	PF00788
PF02981	PF02981
PF00071	PF07714
PF00400	PF01399
PF00096	PF00105
PF01488	PF01488
PF00018	PF00026
PF01653	PF03119
PF00031	PF01650
PF00421	PF05757
PF00252	PF00471
PF00132	PF06426
PF10393	PF10393
PF00032	PF02271
PF00118	PF00166
PF01163	PF08617
PF04003	PF04192
PF00276	PF09809
PF02240	PF02241
PF00638	PF00638
PF05053	PF11467
PF05997	PF14374
PF05669	PF05983
PF00132	PF17836
PF05686	PF07645
PF00270	PF13307
PF00149	PF00149
PF00440	PF17925
PF02541	PF02541
PF17931	PF17931
PF18779	PF18779
PF02374	PF02866
PF03909	PF04893
PF02271	PF02320
PF04316	PF04545
PF08113	PF09125
PF02872	PF02872
PF04997	PF08271
PF01947	PF01947
PF00239	PF02796
PF00041	PF00102
PF10869	PF10869
PF02460	PF02460
PF00410	PF03719
PF00225	PF13416
PF00397	PF04997
PF00633	PF02132
PF06577	PF06577
PF00270	PF01138
PF02129	PF02129
PF02534	PF02534
PF00104	PF03166
PF00673	PF00827
PF00406	PF01168
PF02197	PF17820
PF00340	PF13927
PF00331	PF00331
PF01465	PF01465
PF18119	PF18119
PF09096	PF09097
PF00389	PF00572
PF09254	PF16902
PF00401	PF02823
PF07691	PF17475
PF00004	PF01749
PF02836	PF11721
PF02662	PF07992
PF00147	PF08702
PF00004	PF06068
PF16211	PF16211
PF00106	PF00324
PF00467	PF04560
PF00023	PF01833
PF00227	PF10450
PF01280	PF01599
PF00835	PF05739
PF00004	PF00646
PF00754	PF10633
PF00560	PF00560
PF00405	PF18515
PF14845	PF14845
PF00129	PF00129
PF02518	PF05192
