domain_1	domain_2
PF07880	PF07880
PF13242	PF13242
PF01071	PF02843
PF11713	PF11713
PF00154	PF01330
PF10040	PF10040
PF00781	PF00781
PF03255	PF03255
PF08441	PF08441
PF01850	PF04014
PF00874	PF08279
PF00069	PF00888
PF07724	PF10431
PF04983	PF05000
PF03024	PF15005
PF00050	PF00050
PF17980	PF17980
PF02391	PF03205
PF13230	PF13230
PF01200	PF01423
PF00400	PF01217
PF00754	PF00754
PF01000	PF05000
PF00542	PF03946
PF16884	PF16884
PF03718	PF18783
PF00643	PF00643
PF04934	PF04934
PF18665	PF18665
PF03413	PF17881
PF07521	PF07521
PF13857	PF13857
PF00128	PF00128
PF07719	PF17804
PF00128	PF09178
PF00122	PF03814
PF01807	PF03796
PF02258	PF07686
PF01505	PF01505
PF01923	PF12723
PF02331	PF02331
PF05400	PF05400
PF13925	PF13925
PF11160	PF11160
PF00223	PF00796
PF09733	PF18601
PF02269	PF05236
PF04350	PF04350
PF00172	PF04597
PF00149	PF01909
PF01221	PF11540
PF12781	PF12781
PF00069	PF01207
PF00704	PF08329
PF00176	PF00385
PF00400	PF12780
PF02789	PF02789
PF13474	PF13474
PF01473	PF01510
PF00102	PF00514
PF03179	PF03223
PF06482	PF06482
PF00900	PF01479
PF06881	PF06881
PF02288	PF18427
PF00321	PF00321
PF18605	PF18605
PF13936	PF13936
PF05669	PF07247
PF08612	PF09637
PF08722	PF08722
PF03061	PF13279
PF00514	PF00755
PF04881	PF07654
PF02963	PF02963
PF00027	PF04545
PF13513	PF13513
PF01484	PF03165
PF01195	PF01245
PF00575	PF08529
PF09295	PF09295
PF01751	PF01807
PF00763	PF00809
PF02917	PF09276
PF00079	PF01033
PF10416	PF10416
PF13401	PF14629
PF08807	PF08807
PF02793	PF13416
PF01423	PF03194
PF01189	PF01472
PF17147	PF17147
PF01472	PF01472
PF05787	PF05787
PF05496	PF07499
PF00170	PF07716
PF04267	PF07992
PF01280	PF01655
PF01403	PF18020
PF18003	PF18003
PF08654	PF08655
PF00790	PF02809
PF00104	PF00989
PF08704	PF08704
PF01276	PF03709
PF00732	PF05199
PF07719	PF13181
PF00514	PF03810
PF00069	PF16918
PF00669	PF07196
PF00703	PF00703
PF01399	PF18261
PF01108	PF07686
PF00417	PF00542
PF00076	PF00400
PF07009	PF07009
PF16864	PF16864
PF07081	PF07081
PF05347	PF08122
PF02925	PF02925
PF16690	PF16690
PF12164	PF12164
PF01558	PF01855
PF05158	PF11705
PF00119	PF02823
PF17976	PF17978
PF00237	PF00237
PF01230	PF16278
PF00163	PF04006
PF07686	PF08435
PF07992	PF14721
PF01130	PF01130
PF00993	PF01669
PF01948	PF02748
PF00125	PF13923
PF02804	PF02804
PF09105	PF09106
PF00238	PF00478
PF00240	PF00400
PF00071	PF08174
PF08033	PF11549
PF13831	PF13832
PF01588	PF14794
PF00646	PF00888
PF18662	PF18662
PF02045	PF02045
PF00062	PF11738
PF00582	PF00582
PF03129	PF03129
PF00412	PF00568
PF12697	PF12697
PF00250	PF00250
PF00347	PF00827
PF02463	PF04824
PF02421	PF02421
PF14157	PF14157
PF00078	PF00078
PF03028	PF12781
PF00796	PF02605
PF13193	PF16177
PF07910	PF07910
PF00179	PF00735
PF00832	PF01092
PF01016	PF01649
PF11940	PF17432
PF04825	PF08514
PF00888	PF02312
PF01547	PF03567
PF08864	PF08864
PF12924	PF12924
PF00258	PF00258
PF11951	PF11951
PF05496	PF05496
PF01098	PF01098
PF09012	PF17910
PF01035	PF01035
PF16713	PF16713
PF15910	PF15910
PF00400	PF18601
PF01108	PF07140
PF03549	PF07979
PF13501	PF13501
PF10450	PF10450
PF18118	PF18118
PF00559	PF02312
PF03443	PF03443
PF00203	PF09243
PF00460	PF00700
PF04099	PF04099
PF00186	PF00303
PF17841	PF17841
PF01652	PF05456
PF01312	PF01312
PF12876	PF12876
PF00570	PF01138
PF02085	PF13442
PF01353	PF02985
PF03198	PF07983
PF00241	PF00439
PF12706	PF12706
PF00069	PF01912
PF12804	PF12804
PF00018	PF00595
PF00900	PF16121
PF03764	PF04774
PF00735	PF02436
PF08433	PF08433
PF00587	PF12777
PF03838	PF03838
PF00400	PF01467
PF14841	PF14841
PF00071	PF00618
PF00293	PF15365
PF05643	PF05643
PF01547	PF13354
PF00096	PF00096
PF06733	PF06777
PF04810	PF04810
PF01115	PF03226
PF09159	PF09159
PF03388	PF13499
PF01826	PF01826
PF01470	PF01470
PF00593	PF07980
PF01281	PF03948
PF01583	PF14306
PF01686	PF03678
PF02085	PF14522
PF14716	PF14716
PF08227	PF08654
PF00333	PF01249
PF02924	PF02924
PF00271	PF01138
PF00013	PF00071
PF00621	PF17838
PF09019	PF09217
PF08615	PF17745
PF00203	PF00886
PF00045	PF00058
PF00595	PF02214
PF09108	PF09109
PF02864	PF02864
PF00117	PF00389
PF08293	PF14955
PF12756	PF12756
PF09638	PF09638
PF13191	PF14629
PF18034	PF18034
PF00411	PF06419
PF03121	PF03324
PF01909	PF18280
PF00498	PF00533
PF07883	PF07883
PF00400	PF02880
PF07686	PF13927
PF00240	PF04683
PF01092	PF01655
PF00996	PF01239
PF17650	PF17651
PF01084	PF01195
PF05837	PF07778
PF05034	PF07476
PF09140	PF09140
PF13414	PF13844
PF01091	PF05196
PF01248	PF08145
PF10588	PF13459
PF02906	PF13510
PF00018	PF02891
PF04651	PF05077
PF01176	PF01873
PF00034	PF00510
PF05326	PF07654
PF01979	PF02729
PF00656	PF16809
PF01937	PF01937
PF18659	PF18659
PF00416	PF01084
PF13424	PF17256
PF13476	PF13476
PF03872	PF04542
PF11975	PF11975
PF00018	PF00198
PF06002	PF06002
PF07650	PF12796
PF00164	PF01668
PF00380	PF03719
PF02803	PF02803
PF06268	PF06268
PF00135	PF02210
PF05958	PF05958
PF00012	PF00795
PF01556	PF01556
PF07654	PF08435
PF08332	PF08332
PF00071	PF00566
PF00213	PF00231
PF00975	PF07686
PF00176	PF00505
PF00590	PF00590
PF00281	PF00673
PF00899	PF00899
PF02547	PF02547
PF09086	PF09086
PF01079	PF01085
PF00149	PF00231
PF01253	PF05291
PF01725	PF01725
PF00069	PF00664
PF00009	PF08083
PF02262	PF02762
PF01008	PF01329
PF07417	PF07417
PF18120	PF18120
PF04925	PF08068
PF00001	PF02202
PF00181	PF00410
PF02731	PF14559
PF06632	PF06632
PF10103	PF10103
PF00560	PF00595
PF10075	PF10255
PF05700	PF12894
PF16167	PF16167
PF03934	PF11612
PF00573	PF07780
PF02916	PF09116
PF00017	PF07525
PF02876	PF07654
PF12513	PF18147
PF02100	PF02784
PF03643	PF09325
PF00432	PF00432
PF07719	PF14559
PF14254	PF14254
PF00178	PF16179
PF18040	PF18206
PF00399	PF01205
PF13927	PF18452
PF13549	PF13549
PF02016	PF02016
PF00162	PF04053
PF12211	PF12211
PF01716	PF07123
PF00475	PF01634
PF03567	PF03567
PF00827	PF00935
PF01369	PF16453
PF00648	PF01067
PF01086	PF07651
PF03341	PF10640
PF01202	PF01202
PF01099	PF01099
PF01087	PF01263
PF02442	PF02442
PF00008	PF07645
PF02878	PF02880
PF01153	PF01153
PF00083	PF00083
PF01222	PF01393
PF00391	PF05524
PF00027	PF00639
PF04096	PF04121
PF05291	PF06480
PF01151	PF04479
PF00019	PF07648
PF01369	PF18248
PF01336	PF10189
PF04582	PF04582
PF00036	PF00069
PF00125	PF00176
PF00112	PF08773
PF13657	PF13657
PF00276	PF00832
PF03364	PF03364
PF13402	PF17291
PF00186	PF00186
PF01000	PF04566
PF00809	PF01288
PF02790	PF02936
PF00664	PF03412
PF13602	PF13602
PF00051	PF12107
PF11424	PF11424
PF01609	PF14706
PF01645	PF01645
PF04490	PF07654
PF02934	PF02938
PF02348	PF03275
PF00122	PF09604
PF05983	PF09748
PF01375	PF01376
PF00200	PF00200
PF00276	PF00444
PF02508	PF02508
PF18681	PF18681
PF11626	PF11626
PF01420	PF02384
PF03416	PF03416
PF02966	PF08083
PF01503	PF01503
PF05049	PF14531
PF00501	PF01253
PF01090	PF01599
PF00069	PF00679
PF10391	PF14791
PF00679	PF03946
PF11964	PF11964
PF03566	PF03566
PF00010	PF02820
PF17684	PF17684
PF16689	PF16689
PF16668	PF16668
PF12123	PF12123
PF04060	PF17650
PF00177	PF08241
PF01409	PF03483
PF08781	PF16421
PF08726	PF09042
PF00416	PF01667
PF11401	PF11401
PF02901	PF08201
PF00593	PF11504
PF01191	PF06870
PF00750	PF05746
PF00514	PF00583
PF04622	PF05669
PF13765	PF13765
PF11588	PF11588
PF00850	PF13416
PF14533	PF14533
PF00252	PF00829
PF00047	PF00102
PF04954	PF08021
PF03167	PF06106
PF00179	PF01754
PF01330	PF14520
PF07261	PF07261
PF00069	PF00083
PF00023	PF07679
PF01008	PF03029
PF09008	PF11650
PF02359	PF02996
PF00213	PF00430
PF00691	PF18393
PF01907	PF01981
PF08651	PF08657
PF00345	PF00577
PF13180	PF17815
PF12888	PF12888
PF18215	PF18215
PF14660	PF14660
PF15275	PF17772
PF00116	PF02297
PF16661	PF16661
PF00587	PF00587
PF14676	PF14680
PF00018	PF00130
PF01363	PF03134
PF00505	PF09011
PF00098	PF01423
PF00552	PF00692
PF02075	PF02075
PF12169	PF14840
PF00179	PF05669
PF02753	PF13953
PF18030	PF18030
PF07686	PF08990
PF00421	PF02533
PF04053	PF05008
PF02301	PF06581
PF01372	PF13499
PF18674	PF18674
PF00394	PF13442
PF01195	PF01649
PF06247	PF06247
PF07503	PF07503
PF01375	PF01375
PF05435	PF05435
PF17209	PF17209
PF18794	PF18795
PF01134	PF03054
PF00009	PF00679
PF03129	PF03950
PF07525	PF12796
PF02188	PF13424
PF01202	PF02774
PF15538	PF15538
PF00069	PF02826
PF03411	PF03411
PF16499	PF17801
PF13085	PF13183
PF17962	PF17972
PF02386	PF02386
PF07859	PF12041
PF00307	PF02866
PF00128	PF16657
PF00595	PF00769
PF04855	PF04855
PF06588	PF06588
PF09201	PF09439
PF17898	PF17898
PF10369	PF10369
PF03627	PF03628
PF02574	PF02607
PF13523	PF13523
PF09722	PF09722
PF00556	PF00556
PF15777	PF15777
PF00022	PF03250
PF00293	PF00300
PF00069	PF06617
PF01376	PF01376
PF00345	PF13953
PF04084	PF04084
PF00067	PF00067
PF14524	PF14524
PF14760	PF14760
PF00514	PF01749
PF00606	PF00606
PF00017	PF00017
PF00164	PF00177
PF00091	PF03607
PF09968	PF09968
PF01458	PF01458
PF00069	PF16847
PF12727	PF12727
PF14888	PF14889
PF00514	PF00646
PF00109	PF01575
PF09037	PF09037
PF00856	PF18600
PF00017	PF02174
PF03226	PF10433
PF05297	PF05297
PF03480	PF16811
PF16139	PF16139
PF03571	PF03571
PF01813	PF01992
PF04493	PF04493
PF00307	PF01221
PF08965	PF08965
PF00001	PF00959
PF00076	PF08920
PF09485	PF09485
PF00276	PF05697
PF00119	PF00231
PF00623	PF02150
PF00548	PF00548
PF08519	PF08542
PF00088	PF13802
PF17862	PF18051
PF02152	PF02152
PF12912	PF12913
PF01571	PF01571
PF00467	PF02357
PF00297	PF00573
PF02252	PF02252
PF02965	PF02965
PF00876	PF00876
PF00109	PF00698
PF00084	PF09014
PF03084	PF03084
PF01329	PF01329
PF00085	PF18108
PF00125	PF03730
PF00125	PF00628
PF00137	PF01566
PF09043	PF09043
PF01507	PF01507
PF02020	PF02847
PF16722	PF16722
PF07815	PF09735
PF01532	PF03643
PF09275	PF09276
PF00078	PF07686
PF01402	PF01402
PF17932	PF17932
PF00194	PF13927
PF00320	PF05368
PF00573	PF08053
PF00270	PF02847
PF04351	PF07660
PF00225	PF03953
PF00743	PF13450
PF17205	PF18372
PF01462	PF02191
PF00400	PF00610
PF01273	PF02886
PF09363	PF09364
PF00853	PF00853
PF00935	PF01655
PF00057	PF14670
PF06825	PF06825
PF07347	PF10588
PF04052	PF05697
PF02685	PF02685
PF09239	PF13589
PF00198	PF02780
PF00056	PF03446
PF12367	PF12367
PF00009	PF00575
PF02059	PF02059
PF02626	PF02682
PF01414	PF07657
PF00551	PF13193
PF00612	PF02178
PF01331	PF01423
PF00400	PF05856
PF00036	PF00326
PF07738	PF18580
PF03970	PF03970
PF01011	PF01011
PF00271	PF02786
PF00143	PF00143
PF02616	PF04079
PF00583	PF12569
PF06446	PF07686
PF00092	PF18677
PF00008	PF00023
PF00156	PF13522
PF13689	PF13689
PF04811	PF11549
PF04560	PF06870
PF05669	PF05669
PF00069	PF00306
PF04390	PF04453
PF03764	PF16571
PF00071	PF02759
PF06330	PF06330
PF04106	PF04110
PF00085	PF00578
PF05543	PF14731
PF13341	PF13341
PF00973	PF13825
PF00051	PF00079
PF13527	PF13530
PF02431	PF02431
PF03144	PF03463
PF01726	PF01726
PF00007	PF07686
PF14171	PF14171
PF05209	PF05209
PF06776	PF06776
PF00149	PF04979
PF07650	PF07650
PF00516	PF07686
PF00301	PF02915
PF16471	PF16471
PF00022	PF02181
PF01565	PF09330
PF02801	PF16073
PF18063	PF18063
PF03366	PF03366
PF02700	PF02769
PF00595	PF05622
PF00137	PF00213
PF01857	PF11934
PF00825	PF01746
PF00119	PF05933
PF08423	PF08477
PF08858	PF08864
PF00827	PF01015
PF05450	PF05450
PF01320	PF07654
PF00804	PF15277
PF01119	PF01624
PF00227	PF03177
PF00491	PF00514
PF00485	PF00485
PF00377	PF00377
PF03587	PF03587
PF07737	PF07737
PF16677	PF16677
PF00520	PF07686
PF00427	PF00427
PF02324	PF02324
PF00504	PF03244
PF00022	PF00118
PF13884	PF13884
PF00069	PF00254
PF00185	PF01979
PF00237	PF04280
PF03775	PF05209
PF08988	PF08988
PF02909	PF06613
PF00226	PF00226
PF00358	PF00367
PF01655	PF01907
PF00177	PF05698
PF12771	PF16404
PF00957	PF01412
PF00090	PF10250
PF00132	PF14805
PF00617	PF00788
PF05133	PF05135
PF16679	PF17207
PF00752	PF00752
PF00127	PF13442
PF00215	PF00639
PF17789	PF17791
PF00953	PF10555
PF00027	PF03118
PF00119	PF00430
PF01655	PF01667
PF05426	PF05426
PF00400	PF17226
PF03462	PF17827
PF06014	PF06014
PF00027	PF00612
PF09255	PF09255
PF06321	PF15495
PF00012	PF01214
PF00759	PF00759
PF00076	PF03129
PF00146	PF06212
PF00035	PF00636
PF03192	PF03192
PF00471	PF01649
PF05171	PF05171
PF13545	PF13545
PF08240	PF08240
PF01900	PF08584
PF00271	PF02907
PF03371	PF03371
PF01327	PF01327
PF00084	PF00089
PF00575	PF03725
PF00454	PF00792
PF00072	PF07730
PF05053	PF05053
PF00561	PF12146
PF14183	PF14183
PF03321	PF14497
PF14721	PF14721
PF00726	PF07686
PF00072	PF01584
PF00045	PF00413
PF02037	PF03730
PF04029	PF04029
PF00515	PF13431
PF12800	PF13247
PF00439	PF02190
PF00587	PF09181
PF06325	PF06325
PF00595	PF03572
PF00428	PF00466
PF02823	PF04627
PF01180	PF10418
PF01008	PF01813
PF00497	PF01464
PF14890	PF14890
PF09454	PF09454
PF14789	PF14789
PF11418	PF11778
PF00480	PF01047
PF00384	PF07969
PF00082	PF00197
PF00009	PF00736
PF00186	PF00262
PF10040	PF17952
PF00270	PF02824
PF18400	PF18402
PF00182	PF00182
PF00179	PF00406
PF08281	PF18557
PF01826	PF08742
PF06557	PF06557
PF00041	PF11976
PF04086	PF09439
PF00045	PF00045
PF01191	PF04983
PF13774	PF13774
PF16456	PF16456
PF00171	PF18083
PF01193	PF04560
PF04607	PF04607
PF00457	PF03422
PF02337	PF02337
PF03136	PF05639
PF08126	PF08126
PF00071	PF08912
PF03144	PF03144
PF08923	PF16672
PF01853	PF10513
PF00766	PF01012
PF01778	PF17135
PF02636	PF02636
PF00071	PF00794
PF00036	PF00153
PF00515	PF00850
PF10090	PF10090
PF00792	PF16454
PF01751	PF01751
PF11536	PF11536
PF18435	PF18435
PF00069	PF00168
PF00004	PF02861
PF00428	PF00832
PF00012	PF16782
PF00270	PF16124
PF11835	PF11835
PF11991	PF11991
PF03513	PF03515
PF06732	PF16589
PF00084	PF00715
PF04616	PF05270
PF02837	PF02929
PF00004	PF00023
PF13492	PF13492
PF12799	PF13516
PF00046	PF03165
PF00037	PF02256
PF00788	PF00788
PF00005	PF00664
PF01133	PF01133
PF00006	PF00306
PF05669	PF08638
PF02792	PF09282
PF01545	PF16916
PF11852	PF18494
PF00082	PF12580
PF00754	PF07731
PF00037	PF00164
PF00423	PF06214
PF05157	PF05157
PF00400	PF00833
PF00073	PF00548
PF00581	PF17773
PF05001	PF05983
PF15892	PF15892
PF05916	PF05916
PF14631	PF14631
PF00063	PF18597
PF12354	PF13855
PF00642	PF00642
PF09620	PF09620
PF00318	PF00411
PF00106	PF01992
PF00025	PF03259
PF01137	PF05189
PF00249	PF00509
PF13597	PF13597
PF01213	PF01213
PF01192	PF04997
PF10596	PF10596
PF00584	PF10559
PF00043	PF00043
PF00036	PF00050
PF18600	PF18601
PF16846	PF16846
PF07700	PF07700
PF00240	PF04843
PF02229	PF12149
PF00301	PF07992
PF07688	PF07688
PF01312	PF01313
PF00227	PF01851
PF10480	PF10480
PF11487	PF11487
PF12796	PF15511
PF03807	PF10728
PF09730	PF09730
PF01956	PF01956
PF00092	PF01413
PF09279	PF09279
PF00176	PF01547
PF00626	PF01290
PF00199	PF00514
PF00023	PF00656
PF01436	PF13905
PF01858	PF01858
PF06574	PF06574
PF00111	PF01077
PF00006	PF05203
PF00877	PF12913
PF02775	PF02775
PF04998	PF16857
PF01157	PF01981
PF13041	PF13041
PF03347	PF03347
PF15277	PF15277
PF02816	PF02816
PF01214	PF06068
PF01118	PF09290
PF00957	PF01742
PF00150	PF18564
PF02020	PF02020
PF00252	PF01250
PF01716	PF05757
PF13404	PF13412
PF03177	PF04121
PF03118	PF03960
PF14696	PF14696
PF13953	PF13954
PF05709	PF05709
PF01189	PF17126
PF00639	PF01193
PF07980	PF07980
PF01411	PF01411
PF01451	PF06617
PF02341	PF02341
PF01913	PF01913
PF11919	PF16507
PF00004	PF03215
PF02127	PF05859
PF00179	PF13979
PF02214	PF02254
PF00623	PF05327
PF09733	PF18600
PF04345	PF04345
PF12180	PF12180
PF03393	PF03393
PF00326	PF08386
PF01036	PF17909
PF00550	PF02770
PF01048	PF01048
PF02018	PF02927
PF00012	PF00638
PF01399	PF03399
PF10220	PF10220
PF00589	PF02920
PF00642	PF03178
PF01344	PF09118
PF01401	PF01401
PF00241	PF00241
PF02934	PF18195
PF02800	PF02800
PF01398	PF18098
PF00742	PF02774
PF01381	PF07804
PF00016	PF00101
PF05060	PF05060
PF03695	PF03695
PF00047	PF01403
PF02964	PF02964
PF01109	PF01109
PF00036	PF01023
PF01787	PF01787
PF01336	PF16900
PF00176	PF00271
PF01634	PF08029
PF07927	PF15919
PF07645	PF07657
PF00069	PF00098
PF10716	PF11909
PF01336	PF02231
PF04090	PF04997
PF12193	PF12193
PF08854	PF08854
PF02982	PF02982
PF05922	PF07686
PF17981	PF17981
PF06375	PF13774
PF17484	PF17484
PF00271	PF02832
PF10213	PF10236
PF18386	PF18386
PF17573	PF17573
PF00266	PF05347
PF16218	PF16218
PF01863	PF01863
PF16672	PF16672
PF00514	PF04425
PF00489	PF07686
PF00682	PF01118
PF11909	PF12838
PF00301	PF18113
PF00785	PF01590
PF00067	PF00111
PF00439	PF00439
PF17409	PF17409
PF03900	PF06969
PF02836	PF13416
PF00453	PF00542
PF00075	PF00665
PF00745	PF13424
PF00231	PF00306
PF00836	PF03953
PF00095	PF00095
PF01002	PF01002
PF04421	PF04421
PF00006	PF05873
PF04758	PF04950
PF06314	PF06314
PF05986	PF06493
PF00278	PF02100
PF00149	PF16656
PF12783	PF12783
PF01900	PF06978
PF00188	PF05825
PF00791	PF17217
PF13432	PF13432
PF18772	PF18772
PF00785	PF00785
PF06426	PF06426
PF01990	PF03357
PF00574	PF00574
PF08263	PF12799
PF07654	PF17780
PF00595	PF17817
PF08638	PF10018
PF10634	PF10634
PF02899	PF02914
PF01813	PF03223
PF18686	PF18686
PF16727	PF16727
PF03643	PF03643
PF04560	PF04983
PF01551	PF12685
PF01215	PF01215
PF12883	PF12883
PF17295	PF17295
PF00361	PF06444
PF09515	PF09515
PF07531	PF07531
PF00234	PF11852
PF02820	PF04719
PF00791	PF17809
PF00809	PF03599
PF02254	PF03493
PF00037	PF00384
PF01016	PF01084
PF14809	PF14810
PF00417	PF00829
PF08787	PF08787
PF05164	PF05164
PF03276	PF03276
PF00888	PF17211
PF03847	PF05236
PF00604	PF00604
PF16739	PF18119
PF00828	PF00829
PF07434	PF07434
PF02436	PF02785
PF00244	PF00571
PF00034	PF00116
PF00229	PF07686
PF02463	PF02616
PF00285	PF01992
PF00228	PF00228
PF00084	PF00423
PF01583	PF01747
PF00072	PF01590
PF00125	PF00334
PF18460	PF18460
PF01913	PF02741
PF04053	PF04733
PF00089	PF00595
PF07110	PF07110
PF04121	PF04939
PF11411	PF16589
PF00118	PF01496
PF00068	PF02740
PF00111	PF02738
PF13492	PF16963
PF05645	PF08221
PF00355	PF02167
PF13336	PF13336
PF08869	PF08869
PF03412	PF03412
PF00229	PF18278
PF02244	PF07686
PF11191	PF11191
PF03256	PF13181
PF02129	PF08530
PF10589	PF13510
PF01090	PF01157
PF02739	PF09293
PF01814	PF01814
PF02457	PF10372
PF13204	PF16586
PF01191	PF04998
PF00018	PF00047
PF00245	PF00245
PF01423	PF01912
PF05214	PF05214
PF02782	PF02782
PF00071	PF06367
PF10189	PF15925
PF18279	PF18279
PF01916	PF01916
PF00690	PF00702
PF07689	PF07689
PF03960	PF03960
PF10566	PF14508
PF00028	PF07686
PF00206	PF00782
PF08784	PF08784
PF14059	PF14059
PF00400	PF02731
PF00310	PF01645
PF01113	PF16654
PF08275	PF10410
PF01267	PF16000
PF00025	PF18308
PF07991	PF07991
PF00174	PF13442
PF17764	PF18074
PF00270	PF01336
PF14587	PF17189
PF00202	PF13500
PF00995	PF05739
PF18454	PF18454
PF05405	PF05933
PF00949	PF00972
PF00507	PF00662
PF00583	PF00696
PF02754	PF13183
PF08538	PF08538
PF00361	PF06455
PF00600	PF00600
PF02769	PF02769
PF11497	PF12838
PF00196	PF09228
PF00001	PF00339
PF00254	PF00515
PF08536	PF08536
PF00076	PF00096
PF16777	PF16777
PF04563	PF06883
PF03737	PF03737
PF10133	PF10133
PF13435	PF13447
PF00623	PF03449
PF00167	PF01023
PF00069	PF01031
PF03886	PF03886
PF00439	PF06001
PF09222	PF09222
PF01728	PF04387
PF03310	PF03310
PF00382	PF02268
PF00582	PF06652
PF00832	PF01200
PF11520	PF11520
PF00832	PF01198
PF02115	PF02115
PF16380	PF16380
PF01799	PF03450
PF02771	PF02771
PF00241	PF07714
PF07921	PF07921
PF05365	PF09796
PF03332	PF03332
PF03483	PF17759
PF03361	PF03361
PF02724	PF17855
PF03123	PF03123
PF01560	PF01560
PF00547	PF01979
PF01826	PF16164
PF05008	PF05739
PF01400	PF01400
PF14591	PF14591
PF03861	PF03861
PF00271	PF02854
PF00705	PF04675
PF11068	PF11068
PF00170	PF12884
PF03061	PF03061
PF00149	PF17839
PF00172	PF00400
PF00180	PF00400
PF05118	PF05118
PF00928	PF02780
PF00326	PF00326
PF00658	PF07145
PF00167	PF13499
PF00890	PF13187
PF00740	PF07686
PF04266	PF04266
PF18426	PF18443
PF02221	PF02221
PF00521	PF01751
PF12939	PF12939
PF02267	PF07686
PF03574	PF03574
PF00797	PF00797
PF07885	PF17655
PF01157	PF01780
PF08970	PF08970
PF07686	PF07951
PF00453	PF01327
PF00246	PF02977
PF00006	PF00213
PF00023	PF00227
PF00686	PF00723
PF01414	PF07654
PF05853	PF05853
PF09079	PF17872
PF13411	PF13411
PF00358	PF02782
PF10604	PF10604
PF03630	PF03630
PF02368	PF02369
PF00928	PF01388
PF01738	PF01738
PF07951	PF08470
PF00550	PF00698
PF00410	PF08069
PF01471	PF11860
PF17391	PF17391
PF01602	PF14806
PF02945	PF09124
PF09113	PF09113
PF13181	PF13414
PF00096	PF02190
PF00748	PF00748
PF07143	PF07143
PF00308	PF00308
PF12203	PF12203
PF01956	PF07686
PF11612	PF11612
PF08840	PF08840
PF00041	PF13416
PF00128	PF00234
PF05669	PF05832
PF10100	PF10100
PF03611	PF03611
PF00230	PF00230
PF11580	PF11580
PF00073	PF05408
PF16694	PF16694
PF00735	PF08282
PF09425	PF14215
PF00751	PF03940
PF00008	PF00754
PF08190	PF08190
PF00223	PF00504
PF18599	PF18599
PF01248	PF01269
PF03520	PF13499
PF02836	PF16353
PF02781	PF02781
PF00008	PF00757
PF01603	PF13646
PF00426	PF00426
PF00455	PF06026
PF01090	PF01780
PF00317	PF01423
PF05872	PF09378
PF13855	PF13855
PF04613	PF14602
PF02132	PF02132
PF00050	PF09289
PF01609	PF02914
PF02012	PF13088
PF16779	PF16779
PF00633	PF03119
PF18835	PF18835
PF09510	PF09510
PF00042	PF00970
PF09226	PF09226
PF07055	PF12241
PF00069	PF00560
PF04560	PF08292
PF00598	PF00598
PF01958	PF01958
PF10470	PF10470
PF01485	PF17976
PF01569	PF17897
PF00560	PF13306
PF09233	PF09233
PF00595	PF13590
PF04560	PF04998
PF00223	PF02605
PF00075	PF00077
PF00169	PF00400
PF10398	PF10398
PF12745	PF12745
PF00452	PF15285
PF05764	PF05764
PF02281	PF02281
PF08775	PF08775
PF00042	PF00175
PF07063	PF07063
PF00667	PF00667
PF01367	PF02739
PF01058	PF05368
PF00218	PF00218
PF07678	PF11621
PF01200	PF01249
PF17405	PF17406
PF03979	PF16857
PF00227	PF10448
PF02889	PF18149
PF00169	PF00443
PF03514	PF03514
PF17639	PF17639
PF09724	PF09724
PF00628	PF02373
PF00311	PF00311
PF00400	PF00443
PF05686	PF05686
PF14295	PF14295
PF18826	PF18826
PF00347	PF00673
PF01899	PF04039
PF00223	PF02507
PF05689	PF09134
PF00833	PF01283
PF02025	PF09240
PF18653	PF18653
PF00023	PF00873
PF04230	PF04230
PF00125	PF08214
PF18219	PF18219
PF14526	PF14526
PF00787	PF03635
PF00248	PF01253
PF06212	PF15879
PF03931	PF17211
PF14598	PF14598
PF02767	PF11799
PF07968	PF12563
PF00117	PF02826
PF00471	PF01668
PF01415	PF18447
PF00410	PF00410
PF18444	PF18444
PF13443	PF13443
PF00619	PF00931
PF00023	PF16179
PF05783	PF08385
PF02099	PF02099
PF00219	PF00219
PF00001	PF00048
PF00002	PF00959
PF07685	PF08245
PF00589	PF02914
PF00412	PF07686
PF00240	PF11547
PF03876	PF06093
PF00042	PF00057
PF15826	PF15826
PF07536	PF07536
PF07686	PF07953
PF02170	PF08699
PF00444	PF01016
PF01815	PF01815
PF02811	PF14716
PF08323	PF08323
PF00071	PF00560
PF12826	PF14520
PF02624	PF18381
PF03902	PF03902
PF18553	PF18554
PF00152	PF01253
PF00071	PF13426
PF01423	PF02826
PF00092	PF11546
PF03810	PF18773
PF02922	PF17967
PF00830	PF03948
PF00071	PF05216
PF02840	PF11708
PF08814	PF08814
PF00240	PF16550
PF00940	PF00940
PF07726	PF17863
PF02952	PF07881
PF01462	PF12799
PF01712	PF04716
PF02629	PF06971
PF07688	PF07689
PF08699	PF16488
PF00017	PF02762
PF00346	PF10588
PF07449	PF07449
PF00424	PF07686
PF02837	PF18565
PF00633	PF01541
PF00523	PF00523
PF00364	PF02780
PF00691	PF07676
PF06257	PF06257
PF08435	PF08435
PF08727	PF08727
PF00400	PF03130
PF18125	PF18125
PF05031	PF07686
PF00196	PF13426
PF06751	PF06751
PF04096	PF07686
PF12747	PF12747
PF00163	PF00562
PF02335	PF02335
PF00130	PF00620
PF00400	PF12265
PF04326	PF18685
PF04111	PF17675
PF08446	PF08446
PF03799	PF08478
PF01580	PF01580
PF14691	PF14691
PF00021	PF17440
PF04960	PF04960
PF00004	PF00400
