domain_1	domain_2
PF02826	PF00270
PF00041	PF00017
PF00626	PF00022
PF14630	PF13401
PF01556	PF00012
PF07654	PF00194
PF00632	PF00179
PF01138	PF01138
PF01266	PF01266
PF01423	PF00169
PF12763	PF12016
PF00514	PF06384
PF13927	PF07686
PF07479	PF07479
PF14382	PF03725
PF00044	PF00044
PF00439	PF00439
PF00076	PF01974
PF17791	PF07703
PF18574	PF13923
PF00403	PF00403
PF07686	PF02244
PF00069	PF00653
PF00969	PF09307
PF00091	PF00307
PF12721	PF12721
PF01073	PF01073
PF05192	PF00488
PF00069	PF01404
PF00096	PF00443
PF00443	PF00063
PF00400	PF01603
PF03980	PF08202
PF08375	PF01399
PF13558	PF00149
PF02803	PF00108
PF00054	PF13927
PF00017	PF02864
PF06093	PF03439
PF00010	PF00046
PF00352	PF00352
PF05347	PF00266
PF00388	PF00617
PF00583	PF00439
PF00018	PF00130
PF02874	PF01991
PF00071	PF18777
PF12796	PF00782
PF01344	PF07686
PF00689	PF00702
PF00400	PF00587
PF16886	PF00006
PF00145	PF12047
PF17789	PF17791
PF00400	PF00562
PF00055	PF00053
PF00503	PF07686
PF08205	PF07679
PF02984	PF00134
PF00621	PF00071
PF00046	PF00076
PF00080	PF00403
PF00125	PF00160
PF08385	PF00022
PF00041	PF00069
PF08083	PF00009
PF07690	PF01151
PF02171	PF08699
PF01096	PF04563
PF03143	PF03463
PF09014	PF00057
PF00132	PF00022
PF13606	PF13857
PF01912	PF04427
PF00031	PF00112
PF00651	PF00917
PF02171	PF02171
PF00089	PF07645
PF00047	PF09240
PF07686	PF16497
PF00250	PF00046
PF10249	PF10183
PF08441	PF01839
PF02961	PF02961
PF02262	PF02262
PF00109	PF00975
PF00069	PF06479
PF00636	PF02170
PF00338	PF00467
PF00043	PF02798
PF00069	PF01285
PF07717	PF00271
PF02852	PF07992
PF00046	PF02376
PF16891	PF16891
PF12134	PF08572
PF04057	PF04057
PF12931	PF00400
PF17820	PF09007
PF01193	PF13656
PF02902	PF11976
PF00514	PF16186
PF00595	PF00168
PF00443	PF00018
PF01030	PF00041
PF00019	PF00019
PF01398	PF13012
PF00149	PF13499
PF00096	PF00076
PF00431	PF00057
PF12874	PF00096
PF00400	PF01248
PF17862	PF02933
PF13919	PF18031
PF00501	PF00501
PF05008	PF01417
PF08752	PF04053
PF00097	PF02225
PF00071	PF06367
PF00297	PF00271
PF00010	PF02985
PF05557	PF05557
PF00168	PF00017
PF18104	PF18104
PF09294	PF09240
PF00306	PF00213
PF00107	PF00514
PF13833	PF08726
PF05000	PF03870
PF00400	PF03166
PF04880	PF04880
PF13393	PF13393
PF00338	PF00253
PF00643	PF15227
PF10513	PF17772
PF00975	PF00975
PF00135	PF07686
PF13833	PF00225
PF12052	PF00625
PF01196	PF00076
PF17790	PF00090
PF00071	PF17787
PF00183	PF08565
PF14596	PF14598
PF16300	PF00400
PF00096	PF00412
PF18346	PF18346
PF02937	PF02790
PF00232	PF07679
PF04130	PF00091
PF01667	PF01157
PF00271	PF11648
PF07677	PF01821
PF00168	PF09279
PF00076	PF00478
PF02172	PF16676
PF10208	PF10208
PF10588	PF00346
PF00653	PF09057
PF00562	PF01194
PF00004	PF04084
PF02786	PF00117
PF02847	PF00270
PF02114	PF00400
PF00089	PF00051
PF02167	PF02271
PF00089	PF07686
PF00043	PF14497
PF00389	PF00400
PF03465	PF04068
PF08033	PF04811
PF00018	PF02181
PF04800	PF15880
PF14447	PF02761
PF03144	PF03144
PF00787	PF10456
PF04056	PF04056
PF01876	PF01900
PF02893	PF06602
PF13181	PF00515
PF00076	PF01253
PF18574	PF18574
PF01157	PF01092
PF01201	PF08153
PF03953	PF00225
PF00571	PF00102
PF04998	PF07500
PF00098	PF02854
PF00170	PF00554
PF07714	PF00241
PF07654	PF00047
PF08174	PF00071
PF00917	PF00096
PF00443	PF14533
PF07707	PF00888
PF02991	PF05739
PF05110	PF07303
PF00168	PF00069
PF00069	PF00696
PF00254	PF07714
PF00225	PF13833
PF01398	PF01399
PF01749	PF00240
PF06456	PF00025
PF00083	PF00069
PF01926	PF10396
PF02574	PF02574
PF10477	PF01652
PF03801	PF08286
PF00578	PF00085
PF00071	PF06920
PF04869	PF18770
PF00326	PF00930
PF00102	PF06617
PF10381	PF03987
PF02338	PF02338
PF00271	PF00628
PF13639	PF00240
PF06026	PF06026
PF04983	PF00623
PF13432	PF00515
PF13242	PF13344
PF07714	PF00406
PF02201	PF08563
PF02099	PF02099
PF02761	PF02761
PF00305	PF00305
PF00076	PF09088
PF02190	PF00069
PF01583	PF01747
PF14677	PF14678
PF00241	PF00069
PF01851	PF00400
PF13646	PF00069
PF01336	PF01336
PF00778	PF02377
PF09781	PF06374
PF00152	PF00587
PF01485	PF01485
PF00514	PF02985
PF00673	PF00237
PF00069	PF00202
PF06371	PF00071
PF02359	PF02933
PF00134	PF00076
PF02969	PF03847
PF00175	PF00258
PF12569	PF00583
PF01153	PF01153
PF00317	PF00317
PF00868	PF00868
PF02824	PF00270
PF13087	PF18141
PF10501	PF05047
PF08148	PF00400
PF00179	PF00240
PF02291	PF04494
PF10374	PF10374
PF02933	PF00004
PF01058	PF00346
PF00004	PF16193
